Date,Description,Amount,Balance
2024-01-10,Payroll Run - Gusto,-30600.00,29400.00
2024-01-25,Transfer from Operating x4821,61200.00,90600.00
2024-01-26,Payroll Run - Gusto,-30600.00,60000.00
2024-02-10,Payroll Run - Gusto,-30400.00,29600.00
2024-02-25,Transfer from Operating x4821,60800.00,90400.00
2024-02-26,Payroll Run - Gusto,-30400.00,60000.00
2024-03-10,Payroll Run - Gusto,-31300.00,28700.00
2024-03-25,Transfer from Operating x4821,62600.00,91300.00
2024-03-26,Payroll Run - Gusto,-31300.00,60000.00
2024-04-10,Payroll Run - Gusto,-31700.00,28300.00
2024-04-25,Transfer from Operating x4821,63400.00,91700.00
2024-04-26,Payroll Run - Gusto,-31700.00,60000.00
2024-05-10,Payroll Run - Gusto,-32400.00,27600.00
2024-05-25,Transfer from Operating x4821,64800.00,92400.00
2024-05-26,Payroll Run - Gusto,-32400.00,60000.00
2024-06-10,Payroll Run - Gusto,-33100.00,26900.00
2024-06-25,Transfer from Operating x4821,66200.00,93100.00
2024-06-26,Payroll Run - Gusto,-33100.00,60000.00
2024-07-10,Payroll Run - Gusto,-33800.00,26200.00
2024-07-25,Transfer from Operating x4821,67600.00,93800.00
2024-07-26,Payroll Run - Gusto,-33800.00,60000.00
2024-08-10,Payroll Run - Gusto,-33500.00,26500.00
2024-08-25,Transfer from Operating x4821,67000.00,93500.00
2024-08-26,Payroll Run - Gusto,-33500.00,60000.00
2024-09-10,Payroll Run - Gusto,-32700.00,27300.00
2024-09-25,Transfer from Operating x4821,65400.00,92700.00
2024-09-26,Payroll Run - Gusto,-32700.00,60000.00
2024-10-10,Payroll Run - Gusto,-31900.00,28100.00
2024-10-25,Transfer from Operating x4821,63800.00,91900.00
2024-10-26,Payroll Run - Gusto,-31900.00,60000.00
2024-11-10,Payroll Run - Gusto,-31100.00,28900.00
2024-11-25,Transfer from Operating x4821,62200.00,91100.00
2024-11-26,Payroll Run - Gusto,-31100.00,60000.00
2024-12-10,Payroll Run - Gusto,-30800.00,29200.00
2024-12-25,Transfer from Operating x4821,61600.00,90800.00
2024-12-26,Payroll Run - Gusto,-30800.00,60000.00
