Category,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
Sales,145200,152800,168400,175900,189300,201700,214500,208900,186200,172400,158600,149100
Parts & Materials,55176,58064,63992,66842,71934,76646,81510,79382,70756,65512,60268,56658
Payroll Wages & Taxes,51200,50800,52600,53400,54800,56200,57600,57000,55400,53800,52200,51600
Officer Compensation,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Rent,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
Insurance,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
Fuel & Vehicle,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
Dues & Subscriptions,850,850,850,850,850,850,850,850,850,850,850,850
Legal & Professional,950,950,950,950,950,25950,950,950,950,950,950,950
Advertising,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
Office & Software,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
Depreciation,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Interest Expense,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150
